id,title,type,score,reason,affected_nodes,dependency_types,buyer_types,criticality,dependency_risk,market_importance,urgency,accessibility,france_fit,eu_fit,incumbent_strength,regulatory_friction,capital_intensity,confidence,sources
opp_eu_hpc_cloud_bridge,Cloud-native AI layer for EuroHPC AI Factories,Infrastructure + tooling,44.1,"AI Factories create compute capacity, but HPC systems are not naturally cloud-native. A layer that makes EuroHPC resources usable like cloud infrastructure could unlock startups/SMEs.","[""ai_factories_network"", ""cloud_native_ai_platform"", ""ai_hpc_supercomputing"", ""kubernetes"", ""vllm""]","[""HPC"", ""cloud_native"", ""AI_compute""]","[""AI startups"", ""SMEs"", ""research labs"", ""AI Factories"", ""public sector""]",5,4,5,5,4,5,5,3,3,3,high,"[""eu_ai_factories_policy"", ""cloud_hpc_divide_paper"", ""kubernetes"", ""vllm""]"
opp_gpu_allocation_broker,European GPU allocation and observability broker,Infrastructure + data/visibility,60.0,"Compute is a critical red dependency. A broker/observability layer could help startups discover, reserve, route and optimize scarce GPU/HPC capacity across European providers.","[""gpu_accelerators"", ""ovhcloud"", ""scaleway"", ""ai_factories_network"", ""data_centers""]","[""GPU"", ""compute"", ""observability""]","[""AI startups"", ""cloud providers"", ""VC portfolios"", ""public programs""]",5,5,5,5,4,5,5,3,2,3,high,"[""scaleway_gpu"", ""ovh_gpu"", ""eu_ai_factories_policy""]"
opp_ai_act_evidence,AI Act evidence and compliance automation for regulated AI,Compliance/trust,58.5,"EU AI deployment will require evidence, governance, risk documentation and compliance workflows. This is accessible to a software startup and strongly relevant to France/EU.","[""eu_ai_act_node"", ""ai_compliance"", ""secure_ai_deployment"", ""aleph_alpha"", ""lighton_ai""]","[""AI_Act"", ""governance"", ""regulated_AI""]","[""enterprises"", ""public institutions"", ""health AI"", ""financial services"", ""defense-adjacent suppliers""]",5,4,5,5,5,5,5,4,4,1,high,"[""eu_ai_act"", ""aleph_alpha"", ""lighton""]"
opp_secure_public_sector_rag,Secure sovereign RAG/document AI for public-sector workflows,Tooling + compliance,13.7,"European public institutions and regulated companies need private GenAI over sensitive documents, with sovereignty and traceability. French positioning is strong through LightOn, Orange, AI2F and public programs.","[""lighton_ai"", ""orange_business"", ""secure_ai_deployment"", ""ai_compliance"", ""sovereign_cloud""]","[""secure_genai"", ""RAG"", ""documents"", ""sovereign_cloud""]","[""public sector"", ""local authorities"", ""universities"", ""regulated enterprises""]",4,4,5,4,4,5,5,4,4,2,medium,"[""lighton"", ""orange_lighton"", ""orange_cloud_avenue"", ""eu_ai_act""]"
opp_model_supply_chain_security,Model supply-chain security scanner for AI hubs and enterprises,Security + data/visibility,18.2,"Model registries and open model reuse create supply-chain risk. A scanner that checks licenses, provenance, unsafe serialization and known risk patterns could be useful for enterprises and public AI deployments.","[""hugging_face"", ""model_distribution"", ""secure_ai_deployment"", ""hf_supply_chain_paper""]","[""model_registry"", ""supply_chain_security"", ""governance""]","[""enterprises"", ""AI platforms"", ""public sector"", ""model hubs""]",4,4,4,4,5,4,5,3,3,1,medium,"[""huggingface"", ""hf_supply_chain_paper"", ""eu_ai_act""]"
opp_eu_inference_optimization,EU inference cost optimizer and routing layer,Infrastructure + tooling,45.6,Inference cost and latency will become a bottleneck for enterprises deploying AI. A vLLM/TGI/Kubernetes-based optimizer could run across European GPU/cloud/HPC providers.,"[""llm_serving"", ""vllm"", ""gpu_accelerators"", ""scaleway"", ""ovhcloud""]","[""inference"", ""routing"", ""cost_optimization"", ""GPU""]","[""AI SaaS"", ""enterprises"", ""cloud providers"", ""AI startups""]",5,4,5,5,4,5,5,4,2,2,high,"[""vllm"", ""vllm_perf_paper"", ""scaleway_gpu"", ""ovh_gpu""]"
opp_energy_ai_data_centers,AI data center energy/cooling intelligence for Europe,Infrastructure + operational efficiency,24.0,"AI Gigafactories and AI clouds depend on power capacity, cooling and energy efficiency. Software monitoring/optimization around power and cooling has B2B value and sovereignty relevance.","[""energy_power_capacity"", ""data_centers"", ""ai_gigafactories"", ""scaleway"", ""ovhcloud""]","[""energy"", ""data_center"", ""cooling"", ""AI_compute""]","[""data center operators"", ""cloud providers"", ""AI factories"", ""utilities""]",5,5,5,5,3,5,5,5,3,4,medium,"[""eu_ai_gigafactories"", ""eu_ai_factories_policy""]"
opp_eu_language_data_factory,European language/domain data factory,Data infrastructure,10.9,Europe has many languages and domain-specific public/industrial data. A secure data curation/evaluation pipeline for EU languages and sectors can serve specialized model builders.,"[""training_data"", ""aleph_alpha"", ""deepl"", ""mistral_ai"", ""ai_factories_network""]","[""data"", ""language"", ""evaluation"", ""synthetic_data""]","[""AI model companies"", ""public sector"", ""enterprises"", ""AI Factories""]",4,4,4,4,4,5,5,3,3,2,medium,"[""aleph_alpha"", ""deepl"", ""eu_ai_factories_policy""]"
opp_ai_factory_access_layer,Startup access layer for AI Factories,Integration opportunity,14.0,"AI Factories offer compute and support, but startups need discovery, application assistance, usage tracking and workload packaging. Build the front door for the compute network.","[""ai_factories_network"", ""ai2f_france"", ""cloud_native_ai_platform"", ""european_ai_talent""]","[""AI_Factories"", ""startup_support"", ""compute_access""]","[""startups"", ""SMEs"", ""AI Factories"", ""incubators"", ""VC portfolios""]",4,3,4,4,5,5,5,2,2,1,medium,"[""eu_ai_factories_policy"", ""eurohpc_ai_factories""]"
opp_sovereign_ai_dependency_dashboard,Sovereign AI dependency dashboard for VCs/corporates/public agencies,Data/visibility,48.6,"The graph itself can become a B2B product: dependency visibility, opportunity extraction and strategic positioning for investors, industrial groups and policy actors.","[""eu_ai_stack"", ""sovereign_cloud"", ""gpu_accelerators"", ""ai_factories_network"", ""ai_compliance""]","[""market_intelligence"", ""dependency_graph"", ""opportunity_extraction""]","[""VCs"", ""corporates"", ""public agencies"", ""deeptech builders""]",5,4,4,5,5,5,5,3,2,1,high,"[""eu_ai_factories_policy"", ""eu_chips_act"", ""eu_ai_act"", ""france2030""]"
opp_dual_use_ai_deployment,Defense-adjacent secure AI deployment stack,Defense-adjacent,8.9,Companies like Helsing show defense AI is software-native. A civilian-compliant secure AI deployment layer can later cross into defense-adjacent regulated environments.,"[""helsing"", ""secure_ai_deployment"", ""ai_compliance"", ""sovereign_cloud""]","[""secure_AI"", ""dual_use"", ""deployment""]","[""defense suppliers"", ""critical infrastructure"", ""public sector"", ""industrial groups""]",5,4,4,5,3,5,5,4,5,3,medium,"[""helsing"", ""helsing_company"", ""eu_ai_act""]"
opp_semiconductor_dependency_intel,AI chip dependency intelligence for European procurement,Data/visibility + substitution,22.3,European AI builders are exposed to US accelerators and global foundry bottlenecks. A procurement/dependency intelligence tool can help buyers plan alternatives and risk exposure.,"[""gpu_accelerators"", ""nvidia"", ""amd"", ""tsmc"", ""asml"", ""sipearl"", ""eu_chips_act_node""]","[""chips"", ""procurement"", ""risk_intelligence""]","[""cloud providers"", ""AI factories"", ""public agencies"", ""large enterprises""]",5,5,4,4,4,5,5,4,3,2,medium,"[""nvidia_data_center"", ""amd_mi300"", ""tsmc"", ""asml"", ""sipearl"", ""eu_chips_act""]"
