id,name,type,country,region,sector,strategic_role,description,sovereignty_score,criticality,market_importance,france_or_eu_fit,color,confidence,tags,sources,fact_status
global_ai_stack,Global AI Stack,sector_view,Global,Global,"[""AI""]",Top-level strategic view,"The worldwide AI stack: models, cloud, compute, chips, data, distribution, tooling, regulation and opportunity signals.",2,5,5,4,blue,"[""view"", ""global""]",[],[],known
frontier_model_layer,Frontier Model Layer,capability_layer,,Global,"[""AI models""]",Foundation/frontier model layer,Closed and open-weight frontier model providers.,1,5,5,4,red,"[""models"", ""frontier""]",[],[],known
ai_cloud_platform_layer,AI Cloud / Model Platform Layer,capability_layer,,Global,"[""cloud"", ""AI platform""]",Cloud AI application layer,"Cloud platforms hosting models, agents, guardrails, enterprise AI APIs and managed infrastructure.",1,5,5,4,red,"[""cloud"", ""platform""]",[],[],known
gpu_compute_layer,GPU / Accelerator Compute Layer,capability_layer,,Global,"[""AI infrastructure"", ""chips""]",Compute bottleneck layer,"High-end GPUs, accelerators, AI superclusters and AI-specific cloud capacity.",1,5,5,5,red,"[""compute"", ""bottleneck""]",[],[],known
chip_supply_chain_layer,Advanced Chip Supply Chain,capability_layer,,Global,"[""chips"", ""semiconductor""]",Semiconductor dependency layer,"AI accelerators depend on HBM, foundries, lithography, packaging, networking and export controls.",1,5,5,5,red,"[""chips"", ""supply_chain""]",[],[],known
ai_data_center_energy_layer,AI Data Center / Energy Layer,capability_layer,,Global,"[""data center"", ""energy""]",Physical AI infrastructure layer,"Power, cooling, land, networking and grid connection for AI data centers and AI factories.",1,5,5,5,red,"[""data_center"", ""energy""]",[],[],known
model_distribution_layer,Model Distribution / Registry Layer,software_platform,,Global,"[""AI software supply chain""]",Model/dataset registry layer,"Model hubs, package registries and distribution paths for open models, datasets and AI artifacts.",2,5,5,4,orange,"[""model_hub"", ""supply_chain""]",[],[],known
ai_serving_inference_layer,AI Serving / Inference Runtime Layer,software_platform,,Global,"[""AI infrastructure""]",Model serving runtime layer,"Software that determines latency, throughput, cost and deployment reliability.",2,5,5,5,orange,"[""serving"", ""inference""]",[],[],known
ai_tooling_observability_layer,AI Tooling / Observability Layer,software_platform,,Global,"[""MLOps"", ""AI platform""]",Operations layer,"Training orchestration, observability, evaluation, experiment tracking, deployment, monitoring and governance.",2,4,5,5,orange,"[""MLOps"", ""observability""]",[],[],known
ai_safety_governance_layer,AI Safety / Governance / Compliance,capability_layer,,Global,"[""regulation"", ""security""]",Safety/regulatory layer,"Regulation, model risk management, security, compliance, evaluation, audit and policy constraints.",3,5,5,5,blue,"[""safety"", ""governance""]",[],[],known
training_data_layer,Training Data / Data Rights Layer,capability_layer,,Global,"[""data""]",Data layer,"High-quality data, proprietary datasets, synthetic data, licensing, privacy and data governance.",2,5,5,5,orange,"[""data"", ""rights""]",[],[],known
enterprise_buyer_layer,Enterprise Buyer / Workflow Layer,capability_layer,,Global,"[""enterprise AI""]",Demand layer,"Enterprises and governments adopting AI inside workflows: productivity, software, legal, finance, manufacturing, defense, healthcare.",3,5,5,5,blue,"[""buyers"", ""enterprise""]",[],[],known
us_ai_ecosystem,US AI Ecosystem,region_cluster,United States,North America,"[""AI""]",Dominant frontier AI cluster,"US-based model labs, hyperscalers, chips, AI clouds and enterprise platforms.",2,5,5,3,blue,"[""US""]",[],[],known
china_ai_ecosystem,China AI Ecosystem,region_cluster,China,Asia,"[""AI""]",Large independent AI ecosystem,"Chinese model companies, cloud platforms, domestic AI accelerators and state/consumer deployment.",3,5,5,2,blue,"[""China""]",[],[],known
eu_ai_ecosystem,European AI Ecosystem,region_cluster,EU/Europe,Europe,"[""AI""]",Sovereignty-driven AI ecosystem,"European model companies, AI Factories, sovereign cloud and regulation-driven adoption.",4,5,4,5,green,"[""Europe"", ""EU""]",[],[],known
middle_east_ai_ecosystem,Middle East AI Ecosystem,region_cluster,Gulf,Middle East,"[""AI infrastructure""]",Capital-and-energy-backed AI ecosystem,"Gulf AI infrastructure, sovereign funds, AI cloud ambitions and Arabic-language model opportunity.",3,4,4,3,blue,"[""Middle_East"", ""capital"", ""energy""]",[],[],known
canada_ai_ecosystem,Canadian AI Ecosystem,region_cluster,Canada,North America,"[""AI""]",Enterprise/private AI cluster,Cohere and research/enterprise AI ecosystem.,3,4,4,3,blue,"[""Canada""]",[],[],known
openai,OpenAI,company,United States,North America,"[""foundation models"", ""AI platform""]",Frontier model/API/enterprise AI platform,"Frontier models, ChatGPT, API platform, enterprise AI, Codex and agentic workflows.",1,5,5,3,red,high,"[""US"", ""closed_model"", ""API""]","[""openai_business""]",known
anthropic,Anthropic / Claude,company,United States,North America,"[""foundation models"", ""AI safety""]",Claude model/API/enterprise platform,"Claude models, Claude Code, enterprise/government/industry solutions and API platform.",1,5,5,3,red,high,"[""US"", ""closed_model"", ""API"", ""safety""]","[""anthropic_claude""]",known
google_deepmind,Google DeepMind / Gemini,company,United States/UK,Global,"[""foundation models"", ""cloud""]",Gemini model family and research lab,Gemini models integrated into Google ecosystem and cloud AI platform.,1,5,5,3,red,high,"[""US"", ""UK"", ""closed_model"", ""cloud""]","[""google_vertex_gemini""]",known
meta_ai,Meta AI / Llama,company,United States,North America,"[""open-weight models"", ""consumer AI""]",Open-weight model and consumer AI platform,Llama model family and Meta AI assistant ecosystem.,1,5,5,3,orange,medium,"[""US"", ""open_weight"", ""consumer""]","[""meta_llama""]",known
xai,xAI / Grok,company,United States,North America,"[""foundation models"", ""AI platform""]",Grok model/API and supercluster-backed AI lab,"Grok models, unified API and Colossus/supercluster positioning.",1,5,4,2,red,high,"[""US"", ""closed_model"", ""API""]","[""xai""]",known
mistral_ai,Mistral AI,company,France,Europe,"[""foundation models"", ""enterprise AI""]",European frontier AI company,"European model company building frontier models, assistants, agents, services and enterprise AI platform.",4,5,5,5,green,high,"[""France"", ""EU"", ""frontier_model""]","[""mistral""]",known
cohere,Cohere,company,Canada,North America,"[""enterprise AI"", ""models""]",Enterprise AI model/platform company,"Private, secure, customizable enterprise AI with Command, Embed, Rerank, Aya, private deployments and industry solutions.",3,4,4,3,blue,high,"[""Canada"", ""enterprise_ai""]","[""cohere""]",known
deepseek,DeepSeek,company,China,Asia,"[""foundation models"", ""open models""]",Chinese frontier/open model lab,DeepSeek chat/API and open research/model releases including R1/V3/Coder lines.,3,5,4,2,orange,high,"[""China"", ""open_weight"", ""API""]","[""deepseek""]",known
alibaba_qwen,Alibaba Cloud / Qwen,company,China,Asia,"[""foundation models"", ""cloud""]",Qwen model family and Alibaba Cloud platform,"Qwen open-source/multimodal/multilingual model family with Alibaba Cloud deployment, APIs and community links.",3,5,5,2,orange,high,"[""China"", ""cloud"", ""open_weight""]","[""qwen""]",known
baidu_ernie,Baidu AI / ERNIE ecosystem,company,China,Asia,"[""AI platform"", ""foundation models""]",Baidu AI platform and model ecosystem,Baidu AI open platform with AI services and model capabilities.,3,4,4,2,orange,medium,"[""China"", ""cloud"", ""AI_platform""]","[""baidu_ai""]",known
perplexity,Perplexity,company,United States,North America,"[""AI search"", ""enterprise AI""]",AI answer/research/search platform,"Enterprise AI research/search platform over files, web and tools with citation-driven answers and security positioning.",1,4,4,3,orange,high,"[""US"", ""search"", ""enterprise_ai""]","[""perplexity_enterprise""]",known
g42,G42 / Core42 ecosystem,company,United Arab Emirates,Middle East,"[""AI holding"", ""AI infrastructure""]",UAE AI holding/infrastructure ecosystem,AI ecosystem/holding company across infrastructure and vertical AI in UAE.,3,4,4,3,blue,medium,"[""UAE"", ""Middle_East"", ""AI_infrastructure""]","[""g42""]",known
humain,HUMAIN,company,Saudi Arabia,Middle East,"[""AI infrastructure"", ""models""]",Saudi sovereign AI infrastructure and model company,"PIF-backed AI company announced to build AI infrastructure, cloud, data centers and Arabic multimodal LLM.",3,4,4,2,blue,medium,"[""Saudi"", ""Middle_East"", ""sovereign_AI""]","[""humain_reuters""]",known
aws_bedrock,Amazon Bedrock,cloud_provider,United States,Global,"[""AI platform"", ""cloud""]",Multi-model genAI platform,"AWS platform for production generative AI applications and agents, model choice, customization, guardrails and enterprise security.",1,5,5,2,red,high,"[""US"", ""hyperscaler"", ""model_platform""]","[""aws_bedrock""]",known
azure_openai_foundry,Microsoft Azure OpenAI / AI Foundry,cloud_provider,United States,Global,"[""AI platform"", ""cloud""]",Azure model platform,"Microsoft Azure platform for OpenAI and Foundry AI models, agents and cloud AI services.",1,5,5,2,red,high,"[""US"", ""hyperscaler"", ""model_platform""]","[""azure_openai""]",known
google_cloud_vertex,Google Cloud Vertex / Gemini Enterprise,cloud_provider,United States,Global,"[""AI platform"", ""cloud""]",Google Cloud AI platform,"Google Cloud Gemini Enterprise/Vertex AI model, agent and enterprise AI platform.",1,5,5,2,red,high,"[""US"", ""hyperscaler"", ""model_platform""]","[""google_vertex_gemini""]",known
oracle_cloud_ai,Oracle Cloud AI,cloud_provider,United States,Global,"[""AI infrastructure"", ""cloud""]",Enterprise cloud AI infrastructure,Oracle AI and cloud infrastructure services.,1,4,4,2,orange,medium,"[""US"", ""cloud""]","[""oracle_ai""]",known
ibm_watsonx,IBM watsonx,software_platform,United States,Global,"[""enterprise AI"", ""data platform""]",Enterprise AI/data platform,IBM watsonx enterprise AI and data platform.,2,4,4,2,orange,medium,"[""US"", ""enterprise_ai""]","[""ibm_watsonx""]",known
databricks_mosaic_ai,Databricks Mosaic AI,software_platform,United States,Global,"[""data platform"", ""enterprise AI""]",Data/AI development platform,Databricks data/ML platform and Mosaic AI tooling.,2,4,4,3,orange,medium,"[""data_platform"", ""MLOps""]","[""databricks_mosaic""]",known
snowflake_cortex_ai,Snowflake Cortex AI,software_platform,United States,Global,"[""data platform"", ""enterprise AI""]",Data cloud AI layer,Snowflake data cloud AI layer for enterprise workloads.,2,4,4,3,orange,medium,"[""data_platform"", ""enterprise_ai""]","[""snowflake_cortex""]",known
coreweave,CoreWeave,cloud_provider,United States,Global,"[""AI cloud"", ""GPU cloud""]",AI-native GPU cloud,"AI-native cloud platform with GPU compute, managed Kubernetes, data/storage/networking and AI workload infrastructure.",1,5,5,2,red,high,"[""US"", ""GPU_cloud"", ""AI_infra""]","[""coreweave""]",known
lambda_cloud,Lambda,cloud_provider,United States,Global,"[""AI cloud"", ""GPU cloud""]",GPU cloud provider,AI cloud / GPU infrastructure provider.,1,4,4,2,orange,medium,"[""US"", ""GPU_cloud""]","[""lambda""]",known
nebius,Nebius,cloud_provider,Netherlands,Europe/Global,"[""AI cloud"", ""GPU cloud""]",AI cloud provider,AI cloud and infrastructure provider with European/Global AI cloud relevance.,3,4,4,4,blue,medium,"[""Europe"", ""AI_cloud""]","[""nebius""]",known
crusoe,Crusoe,cloud_provider,United States,Global,"[""AI infrastructure"", ""energy""]",Energy-aware AI infrastructure provider,AI factory company and renewable/energy-aware AI infrastructure provider.,1,4,4,2,orange,medium,"[""US"", ""energy"", ""AI_factory""]","[""crusoe""]",known
nvidia,NVIDIA,chip_supplier,United States,Global,"[""GPU"", ""AI infrastructure""]",Dominant AI accelerator and platform supplier,"Data center accelerated computing, GPUs, networking, HGX and AI infrastructure software.",1,5,5,1,red,high,"[""GPU"", ""US"", ""compute_bottleneck""]","[""nvidia_datacenter"", ""nvidia_hgx""]",known
amd,AMD,chip_supplier,United States,Global,"[""GPU"", ""AI infrastructure""]",AI/HPC accelerator and CPU supplier,AMD Instinct AI/HPC accelerators and data center platforms.,1,5,5,1,red,high,"[""GPU"", ""US"", ""compute""]","[""amd_mi300""]",known
intel,Intel / Gaudi,chip_supplier,United States,Global,"[""AI accelerator"", ""CPU""]",AI accelerator and CPU supplier,Intel Gaudi AI accelerator family and broader CPU/AI hardware stack.,1,4,4,1,orange,medium,"[""US"", ""accelerator""]","[""intel_gaudi""]",known
tsmc,TSMC,manufacturing_partner,Taiwan,Asia,"[""semiconductor"", ""foundry""]",Advanced semiconductor foundry,Critical foundry for advanced chips and AI accelerators.,1,5,5,1,red,high,"[""Taiwan"", ""foundry"", ""bottleneck""]","[""tsmc""]",known
asml,ASML,hardware_component,Netherlands,Europe,"[""semiconductor equipment""]",EUV lithography monopoly-like bottleneck/enabler,EUV lithography systems for advanced chip manufacturing.,5,5,5,5,blue,high,"[""Netherlands"", ""EUV"", ""semiconductor_equipment""]","[""asml_euv""]",known
samsung_semiconductor,Samsung Semiconductor,manufacturing_partner,South Korea,Asia,"[""memory"", ""foundry""]",Memory/foundry supplier,Memory and foundry layer in AI chip supply chain.,2,5,5,2,orange,medium,"[""South_Korea"", ""HBM"", ""foundry""]",[],known
sk_hynix,SK hynix,manufacturing_partner,South Korea,Asia,"[""memory"", ""HBM""]",HBM memory supplier,HBM memory supplier critical to AI accelerators.,2,5,5,2,red,medium,"[""South_Korea"", ""HBM"", ""memory""]",[],known
micron,Micron,manufacturing_partner,United States,Global,"[""memory"", ""HBM""]",Memory supplier,Memory supplier relevant to AI accelerators and data centers.,2,4,4,2,orange,medium,"[""US"", ""HBM"", ""memory""]",[],known
broadcom,Broadcom,chip_supplier,United States,Global,"[""networking"", ""ASIC""]",AI networking/custom silicon supplier,Networking and custom accelerator/silicon supplier in AI data center stack.,1,5,5,2,red,medium,"[""US"", ""networking"", ""custom_silicon""]",[],known
marvell,Marvell,chip_supplier,United States,Global,"[""networking"", ""custom silicon""]",Data center networking/custom silicon supplier,Networking and custom silicon supplier for AI infrastructure.,1,4,4,2,orange,medium,"[""US"", ""networking""]",[],known
synopsys,Synopsys,software_platform,United States,Global,"[""EDA"", ""semiconductor""]",Chip design software supplier,EDA software used in semiconductor design.,1,5,5,2,red,medium,"[""US"", ""EDA""]",[],known
cadence,Cadence,software_platform,United States,Global,"[""EDA"", ""semiconductor""]",Chip design software supplier,EDA software used in semiconductor design.,1,5,5,2,red,medium,"[""US"", ""EDA""]",[],known
arm,Arm,hardware_component,United Kingdom,Global,"[""IP"", ""CPU""]",CPU/IP architecture supplier,"CPU/IP architecture layer used across mobile, edge, cloud and some accelerator ecosystems.",2,4,5,3,orange,medium,"[""UK"", ""IP""]",[],known
hugging_face,Hugging Face,company,France/US,Global,"[""model hub"", ""open-source AI""]",Model/dataset/application hub,"Global model, dataset and application distribution platform.",3,5,5,5,blue,high,"[""model_hub"", ""France"", ""US""]","[""huggingface""]",known
pytorch,PyTorch,open_source_project,Global,Global,"[""deep learning""]",Deep learning framework,Open-source deep learning framework.,2,5,5,4,orange,high,"[""framework"", ""open_source""]","[""pytorch""]",known
tensorflow,TensorFlow,open_source_project,Global,Global,"[""machine learning""]",ML framework,Open-source machine learning platform.,2,4,4,3,orange,high,"[""framework"", ""open_source""]","[""tensorflow""]",known
kubernetes,Kubernetes,open_source_project,Global,Global,"[""cloud-native""]",Container orchestration layer,Open-source container orchestration platform.,2,5,5,4,orange,high,"[""orchestration"", ""open_source""]","[""kubernetes""]",known
vllm,vLLM,open_source_project,Global,Global,"[""LLM serving""]",LLM inference serving engine,Open-source high-throughput and memory-efficient LLM serving engine.,2,5,5,5,orange,high,"[""serving"", ""open_source""]","[""vllm""]",known
triton_inference,NVIDIA Triton Inference Server,software_platform,United States,Global,"[""inference""]",Inference serving server,Inference serving software for AI models.,1,4,4,2,orange,medium,"[""serving"", ""NVIDIA""]","[""triton_inference""]",known
ray,Ray,open_source_project,Global,Global,"[""distributed computing"", ""AI""]",Distributed workload framework,"Distributed computing framework used for AI training, serving and data workloads.",2,4,4,4,orange,medium,"[""distributed"", ""open_source""]","[""ray""]",known
mlflow,MLflow,open_source_project,Global,Global,"[""MLOps""]",ML lifecycle platform,ML lifecycle and experiment tracking platform.,2,4,4,4,orange,medium,"[""MLOps"", ""open_source""]","[""mlflow""]",known
wandb,Weights & Biases,company,United States,Global,"[""MLOps"", ""observability""]",Experiment tracking and model development platform,"AI/ML experiment tracking, evaluation and model development tooling.",1,4,4,3,orange,medium,"[""MLOps"", ""observability""]","[""wandb""]",known
cuda,CUDA,software_platform,United States,Global,"[""GPU software""]",NVIDIA GPU programming stack,NVIDIA GPU programming/runtime ecosystem; a software moat around NVIDIA GPUs.,1,5,5,1,red,medium,"[""NVIDIA"", ""GPU_software"", ""lock_in""]","[""nvidia_datacenter""]",known
rocm,ROCm,software_platform,United States,Global,"[""GPU software""]",AMD GPU software stack,AMD open software stack for accelerators and AI developers.,1,4,4,2,orange,medium,"[""AMD"", ""GPU_software""]","[""amd_mi300""]",known
microsoft_copilot,Microsoft Copilot ecosystem,software_platform,United States,Global,"[""enterprise AI""]",Productivity AI distribution layer,Microsoft productivity and developer AI distribution layer.,1,5,5,2,red,medium,"[""enterprise_distribution""]","[""azure_openai""]",known
google_workspace_ai,Google Workspace/Gemini ecosystem,software_platform,United States,Global,"[""enterprise AI""]",Productivity AI distribution layer,Google productivity and enterprise AI distribution layer.,1,5,5,2,red,medium,"[""enterprise_distribution""]","[""google_vertex_gemini""]",known
salesforce_einstein,Salesforce Einstein,software_platform,United States,Global,"[""CRM AI""]",CRM AI layer,Salesforce AI layer for enterprise/customer workflows.,1,4,5,2,orange,medium,"[""CRM"", ""enterprise""]","[""salesforce_einstein""]",known
sap_business_ai,SAP Business AI,software_platform,Germany,Global,"[""ERP AI""]",ERP/business AI layer,SAP business AI for enterprise processes.,4,4,5,5,green,medium,"[""ERP"", ""Europe"", ""enterprise""]","[""sap_ai""]",known
servicenow_ai,ServiceNow AI,software_platform,United States,Global,"[""workflow AI""]",Enterprise workflow AI layer,ServiceNow AI for workflows and service management.,1,4,5,2,orange,medium,"[""workflow"", ""enterprise""]","[""servicenow_ai""]",known
adobe_firefly,Adobe Firefly ecosystem,software_platform,United States,Global,"[""creative AI""]",Creative AI distribution layer,Creative AI distribution through Adobe creative tools.,1,4,4,2,orange,medium,"[""creative_ai""]",[],known
canva_ai,Canva AI ecosystem,software_platform,Australia,Global,"[""creative AI""]",Design AI distribution layer,Design AI distribution layer through Canva workflow.,2,3,4,2,orange,low,"[""creative_ai""]",[],known
